,generalElectionVote,Vote
8737,Conservative,Conservative
8738,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8739,Labour,Labour
8740,Labour,Labour
8741,Brexit Party,Brexit Party
8742,Brexit Party,Brexit Party
8743,Conservative,Conservative
8744,Conservative,Conservative
8745,Conservative,Conservative
8746,Conservative,Conservative
8747,Labour,Labour
8748,Labour,Labour
8749,Brexit Party,Brexit Party
8750,Conservative,Conservative
8751,Liberal Democrat,Liberal Democrat
8752,Green Party,Green Party
8753,Labour,Labour
8754,Conservative,Conservative
8755,Labour,Labour
8756,Conservative,Conservative
8757,Labour,Labour
8758,Labour,Labour
8759,Conservative,Conservative
8760,Conservative,Conservative
8761,Brexit Party,Brexit Party
8762,Conservative,Conservative
8763,Conservative,Conservative
8764,Conservative,Conservative
8765,Conservative,Conservative
8766,Conservative,Conservative
8767,Labour,Labour
8768,Conservative,Conservative
8769,Brexit Party,Brexit Party
8770,Brexit Party,Brexit Party
8771,Labour,Labour
8772,Conservative,Conservative
8773,Conservative,Conservative
8774,Brexit Party,Brexit Party
8775,Conservative,Conservative
8776,Conservative,Conservative
8777,Brexit Party,Brexit Party
8778,Conservative,Conservative
8779,Labour,Labour
8780,Conservative,Conservative
8781,Labour,Labour
8782,Liberal Democrat,Liberal Democrat
8783,Liberal Democrat,Liberal Democrat
8784,Conservative,Conservative
8785,Conservative,Conservative
8786,Conservative,Conservative
8787,Conservative,Conservative
8788,Conservative,Conservative
8789,Labour,Labour
8790,Conservative,Conservative
8791,Liberal Democrat,Liberal Democrat
8792,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8793,Conservative,Conservative
8794,Conservative,Conservative
8795,Conservative,Conservative
8796,Conservative,Conservative
8797,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8798,Liberal Democrat,Liberal Democrat
8799,Conservative,Conservative
8800,Conservative,Conservative
8801,Liberal Democrat,Liberal Democrat
8802,Liberal Democrat,Liberal Democrat
8803,Conservative,Conservative
8804,Conservative,Conservative
8805,Conservative,Conservative
8806,Labour,Labour
8807,Conservative,Conservative
8808,Labour,Labour
8809,Green Party,Green Party
8810,Conservative,Conservative
8811,Liberal Democrat,Liberal Democrat
8812,Conservative,Conservative
8813,Labour,Labour
8814,Brexit Party,Brexit Party
8815,Conservative,Conservative
8816,Labour,Labour
8817,Labour,Labour
8818,Liberal Democrat,Liberal Democrat
8819,Brexit Party,Brexit Party
8820,Conservative,Conservative
8821,Labour,Labour
8822,Liberal Democrat,Liberal Democrat
8823,Conservative,Conservative
8824,Labour,Labour
8825,Brexit Party,Brexit Party
8826,Conservative,Conservative
8827,Brexit Party,Brexit Party
8828,Conservative,Conservative
8829,Brexit Party,Brexit Party
8830,Labour,Labour
8831,Conservative,Conservative
8832,Labour,Labour
8833,Conservative,Conservative
8834,Brexit Party,Brexit Party
8835,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8836,Labour,Labour
8837,Conservative,Conservative
8838,Conservative,Conservative
8839,Conservative,Conservative
8840,Conservative,Conservative
8841,Conservative,Conservative
8842,Liberal Democrat,Liberal Democrat
8843,Conservative,Conservative
8844,Labour,Labour
8845,Labour,Labour
8846,Conservative,Conservative
8847,Labour,Labour
8848,Conservative,Conservative
8849,Conservative,Conservative
8850,Conservative,Conservative
8851,Conservative,Conservative
8852,Conservative,Conservative
8853,Conservative,Conservative
8854,Conservative,Conservative
8855,Conservative,Conservative
8856,Labour,Labour
8857,Labour,Labour
8858,Labour,Labour
8859,Liberal Democrat,Liberal Democrat
8860,Labour,Labour
8861,Liberal Democrat,Liberal Democrat
8862,Labour,Labour
8863,Conservative,Conservative
8864,Green Party,Green Party
8865,Labour,Labour
8866,Labour,Labour
8867,Conservative,Conservative
8868,Green Party,Green Party
8869,Conservative,Conservative
8870,Conservative,Conservative
8871,Conservative,Conservative
8872,Labour,Labour
8873,Liberal Democrat,Liberal Democrat
8874,Conservative,Conservative
8875,Brexit Party,Brexit Party
8876,Conservative,Conservative
8877,Conservative,Conservative
8878,Labour,Labour
8879,Conservative,Conservative
8880,Liberal Democrat,Liberal Democrat
8881,Conservative,Conservative
8882,Conservative,Conservative
8883,Conservative,Conservative
8884,Conservative,Conservative
8885,Conservative,Conservative
8886,Conservative,Conservative
8887,Green Party,Green Party
8888,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8889,Conservative,Conservative
8890,Brexit Party,Brexit Party
8891,Conservative,Conservative
8892,Brexit Party,Brexit Party
8893,Labour,Labour
8894,Conservative,Conservative
8895,Labour,Labour
8896,Conservative,Conservative
8897,Green Party,Green Party
8898,Liberal Democrat,Liberal Democrat
8899,Conservative,Conservative
8900,Brexit Party,Brexit Party
8901,Conservative,Conservative
8902,Conservative,Conservative
8903,Conservative,Conservative
8904,Liberal Democrat,Liberal Democrat
8905,Labour,Labour
8906,Liberal Democrat,Liberal Democrat
8907,Conservative,Conservative
8908,Labour,Labour
8909,Brexit Party,Brexit Party
8910,Brexit Party,Brexit Party
8911,Conservative,Conservative
8912,Conservative,Conservative
8913,Conservative,Conservative
8914,Labour,Labour
8915,Conservative,Conservative
8916,Brexit Party,Brexit Party
8917,Conservative,Conservative
8918,Conservative,Conservative
8919,Labour,Labour
8920,Labour,Labour
8921,Conservative,Conservative
8922,Liberal Democrat,Liberal Democrat
8923,Conservative,Conservative
8924,Labour,Labour
8925,Conservative,Conservative
8926,Conservative,Conservative
8927,Conservative,Conservative
8928,Conservative,Conservative
8929,Labour,Labour
8930,Liberal Democrat,Liberal Democrat
8931,Brexit Party,Brexit Party
8932,Liberal Democrat,Liberal Democrat
8933,Labour,Labour
8934,Labour,Labour
8935,Labour,Labour
8936,Labour,Labour
8937,Labour,Labour
8938,Brexit Party,Brexit Party
8939,Brexit Party,Brexit Party
8940,Labour,Labour
8941,Labour,Labour
8942,Conservative,Conservative
8943,Labour,Labour
8944,Brexit Party,Brexit Party
8945,Conservative,Conservative
8946,Labour,Labour
8947,Liberal Democrat,Liberal Democrat
8948,Liberal Democrat,Liberal Democrat
8949,Labour,Labour
8950,Liberal Democrat,Liberal Democrat
8951,Brexit Party,Brexit Party
8952,Green Party,Green Party
8953,Labour,Labour
8954,Labour,Labour
8955,Labour,Labour
8956,Conservative,Conservative
8957,Liberal Democrat,Liberal Democrat
8958,Labour,Labour
8959,Conservative,Conservative
8960,Conservative,Conservative
8961,Labour,Labour
8962,Liberal Democrat,Liberal Democrat
8963,Conservative,Conservative
8964,Liberal Democrat,Liberal Democrat
8965,Conservative,Conservative
8966,Labour,Labour
8967,Labour,Labour
8968,Green Party,Green Party
8969,Labour,Labour
8970,Liberal Democrat,Liberal Democrat
8971,Green Party,Green Party
8972,Conservative,Conservative
8973,Brexit Party,Brexit Party
8974,Brexit Party,Brexit Party
8975,Labour,Labour
8976,Labour,Labour
8977,Labour,Labour
8978,Green Party,Green Party
8979,Labour,Labour
8980,Labour,Labour
8981,Labour,Labour
8982,Liberal Democrat,Liberal Democrat
8983,Labour,Labour
8984,Green Party,Green Party
8985,Conservative,Conservative
8986,Conservative,Conservative
8987,Labour,Labour
8988,Green Party,Green Party
8989,Labour,Labour
8990,An independent candidate,An independent candidate
8991,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
8992,Conservative,Conservative
8993,Conservative,Conservative
8994,Labour,Labour
8995,Labour,Labour
8996,Labour,Labour
8997,Conservative,Conservative
8998,Labour,Labour
8999,Conservative,Conservative
9000,Labour,Labour
9001,Labour,Labour
9002,Liberal Democrat,Liberal Democrat
9003,Labour,Labour
9004,Liberal Democrat,Liberal Democrat
9005,Conservative,Conservative
9006,Conservative,Conservative
9007,Brexit Party,Brexit Party
9008,Green Party,Green Party
9009,Liberal Democrat,Liberal Democrat
9010,Conservative,Conservative
9011,Green Party,Green Party
9012,Labour,Labour
9013,Labour,Labour
9014,Green Party,Green Party
9015,Labour,Labour
9016,Conservative,Conservative
9017,Conservative,Conservative
9018,Conservative,Conservative
9019,Green Party,Green Party
9020,Conservative,Conservative
9021,Labour,Labour
9022,Green Party,Green Party
9023,Labour,Labour
9024,Conservative,Conservative
9025,Conservative,Conservative
9026,Conservative,Conservative
9027,Conservative,Conservative
9028,Conservative,Conservative
9029,Brexit Party,Brexit Party
9030,Liberal Democrat,Liberal Democrat
9031,Brexit Party,Brexit Party
9032,Brexit Party,Brexit Party
9033,Conservative,Conservative
9034,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
9035,Labour,Labour
9036,Conservative,Conservative
9037,Conservative,Conservative
9038,Labour,Labour
9039,Conservative,Conservative
9040,Conservative,Conservative
9041,Conservative,Conservative
9042,Brexit Party,Brexit Party
9043,Labour,Labour
9044,Conservative,Conservative
9045,Brexit Party,Brexit Party
9046,Conservative,Conservative
9047,Conservative,Conservative
9048,Conservative,Conservative
9049,Liberal Democrat,Liberal Democrat
9050,Liberal Democrat,Liberal Democrat
9051,Conservative,Conservative
9052,Conservative,Conservative
9053,Conservative,Conservative
9054,Conservative,Conservative
9055,Conservative,Conservative
9056,Conservative,Conservative
9057,Liberal Democrat,Liberal Democrat
9058,United Kingdom Independence Party (UKIP),United Kingdom Independence Party (UKIP)
9059,Labour,Labour
9060,Labour,Labour
9061,Liberal Democrat,Liberal Democrat
9062,Conservative,Conservative
9063,Conservative,Conservative
9064,Liberal Democrat,Liberal Democrat
9065,Conservative,Conservative
9066,Labour,Labour
9067,Labour,Labour
9068,Labour,Labour
9069,Liberal Democrat,Liberal Democrat
9070,Labour,Labour
9071,Conservative,Conservative
9072,Conservative,Conservative
9073,Labour,Labour
9074,Brexit Party,Brexit Party
9075,Liberal Democrat,Liberal Democrat
9076,Labour,Labour
9077,Green Party,Green Party
9078,Labour,Labour
9079,Liberal Democrat,Liberal Democrat
9080,Liberal Democrat,Liberal Democrat
9081,Conservative,Conservative
9082,Liberal Democrat,Liberal Democrat
9083,Conservative,Conservative
9084,Liberal Democrat,Liberal Democrat
9085,Labour,Labour
9086,Conservative,Conservative
9087,Labour,Labour
9088,Brexit Party,Brexit Party
9089,Conservative,Conservative
9090,Labour,Labour
9091,Labour,Labour
9092,Conservative,Conservative
9093,Conservative,Conservative
9094,Conservative,Conservative
9095,Conservative,Conservative
9096,Brexit Party,Brexit Party
9097,Conservative,Conservative
9098,Labour,Labour
9099,Labour,Labour
9100,Conservative,Conservative
9101,Conservative,Conservative
9102,Conservative,Conservative
9103,Brexit Party,Brexit Party
9104,Liberal Democrat,Liberal Democrat
9105,Labour,Labour
9106,Labour,Labour
9107,Labour,Labour
9108,Conservative,Conservative
9109,Labour,Labour
9110,Labour,Labour
9111,Brexit Party,Brexit Party
9112,Conservative,Conservative
9113,Brexit Party,Brexit Party
9114,Labour,Labour
9115,Labour,Labour
9116,Conservative,Conservative
9117,Conservative,Conservative
9118,Labour,Labour
9119,Brexit Party,Brexit Party
9120,Conservative,Conservative
9121,Labour,Labour
9122,Conservative,Conservative
9123,Conservative,Conservative
9124,Liberal Democrat,Liberal Democrat
9125,Labour,Labour
9126,Labour,Labour
9127,Conservative,Conservative
9128,Labour,Labour
9129,Brexit Party,Brexit Party
9130,Conservative,Conservative
9131,Liberal Democrat,Liberal Democrat
9132,Liberal Democrat,Liberal Democrat
9133,Brexit Party,Brexit Party
9134,Labour,Labour
9135,Conservative,Conservative
9136,Conservative,Conservative
9137,Conservative,Conservative
9138,Brexit Party,Brexit Party
9139,Liberal Democrat,Liberal Democrat
9140,Brexit Party,Brexit Party
9141,Liberal Democrat,Liberal Democrat
9142,Conservative,Conservative
9143,Liberal Democrat,Liberal Democrat
9144,Conservative,Conservative
9145,Liberal Democrat,Liberal Democrat
9146,Conservative,Conservative
9147,Liberal Democrat,Liberal Democrat
9148,Brexit Party,Brexit Party
9149,Conservative,Conservative
9150,Liberal Democrat,Liberal Democrat
9151,Conservative,Conservative
9152,Labour,Labour
9153,Brexit Party,Brexit Party
9154,Conservative,Conservative
9155,Brexit Party,Brexit Party
9156,Brexit Party,Brexit Party
9157,Conservative,Conservative
9158,Labour,Labour
9159,Labour,Labour
9160,Conservative,Conservative
9161,Liberal Democrat,Liberal Democrat
9162,Conservative,Conservative
9163,Labour,Labour
9164,Labour,Labour
9165,Conservative,Conservative
9166,Labour,Labour
9167,Conservative,Conservative
9168,Labour,Labour
9169,Brexit Party,Brexit Party
9170,Brexit Party,Brexit Party
9171,Labour,Labour
9172,Labour,Labour
9173,Liberal Democrat,Liberal Democrat
9174,Labour,Labour
9175,Brexit Party,Brexit Party
9176,Liberal Democrat,Liberal Democrat
9177,Liberal Democrat,Liberal Democrat
9178,Liberal Democrat,Liberal Democrat
9179,Brexit Party,Brexit Party
9180,Liberal Democrat,Liberal Democrat
9181,Labour,Labour
9182,Brexit Party,Brexit Party
9183,Liberal Democrat,Liberal Democrat
9184,Brexit Party,Brexit Party
9185,Brexit Party,Brexit Party
9186,Liberal Democrat,Liberal Democrat
9187,Labour,Labour
9188,Labour,Labour
9189,Labour,Labour
9190,Labour,Labour
9191,Conservative,Conservative
9192,Liberal Democrat,Liberal Democrat
9193,Liberal Democrat,Liberal Democrat
9194,Conservative,Conservative
9195,Conservative,Conservative
9196,Liberal Democrat,Liberal Democrat
9197,Liberal Democrat,Liberal Democrat
9198,Conservative,Conservative
9199,Conservative,Conservative
9200,Liberal Democrat,Liberal Democrat
9201,Green Party,Green Party
9202,Liberal Democrat,Liberal Democrat
9203,Liberal Democrat,Liberal Democrat
9204,Liberal Democrat,Liberal Democrat
9205,Conservative,Conservative
9206,Conservative,Conservative
9207,Labour,Labour
9208,Conservative,Conservative
9209,Liberal Democrat,Liberal Democrat
9210,Conservative,Conservative
9211,Conservative,Conservative
9212,Liberal Democrat,Liberal Democrat
9213,Brexit Party,Brexit Party
9214,Conservative,Conservative
9215,Liberal Democrat,Liberal Democrat
9216,Conservative,Conservative
9217,Conservative,Conservative
9218,Liberal Democrat,Liberal Democrat
9219,Labour,Labour
9220,Brexit Party,Brexit Party
9221,Conservative,Conservative
9222,Conservative,Conservative
9223,Conservative,Conservative
9224,Brexit Party,Brexit Party
9225,Liberal Democrat,Liberal Democrat
9226,Conservative,Conservative
9227,Labour,Labour
9228,Liberal Democrat,Liberal Democrat
9229,Conservative,Conservative
9230,Conservative,Conservative
9231,Conservative,Conservative
9232,Labour,Labour
9233,Green Party,Green Party
9234,Brexit Party,Brexit Party
9235,Liberal Democrat,Liberal Democrat
9236,Labour,Labour
9237,Conservative,Conservative
9238,Conservative,Conservative
9239,Labour,Labour
9240,Labour,Labour
9241,Labour,Labour
9242,Liberal Democrat,Liberal Democrat
9243,Labour,Labour
9244,Conservative,Conservative
9245,Brexit Party,Brexit Party
9246,Green Party,Green Party
9247,Conservative,Conservative
9248,Brexit Party,Brexit Party
9249,Conservative,Conservative
9250,Conservative,Conservative
9251,Labour,Labour
9252,Conservative,Conservative
9253,Conservative,Conservative
9254,Labour,Labour
9255,Conservative,Conservative
9256,Conservative,Conservative
9257,Labour,Labour
9258,Conservative,Conservative
9259,Conservative,Conservative
9260,Conservative,Conservative
9261,Brexit Party,Brexit Party
9262,Labour,Labour
9263,Conservative,Conservative
9264,Brexit Party,Brexit Party
9265,Conservative,Conservative
9266,Brexit Party,Brexit Party
9267,Conservative,Conservative
9268,Conservative,Conservative
9269,Brexit Party,Brexit Party
9270,Conservative,Conservative
9271,Conservative,Conservative
9272,Labour,Labour
9273,Brexit Party,Brexit Party
9274,Labour,Labour
9275,Conservative,Conservative
9276,Conservative,Conservative
9277,Labour,Labour
9278,Labour,Labour
9279,Labour,Labour
9280,Liberal Democrat,Liberal Democrat
9281,Liberal Democrat,Liberal Democrat
